r,171,126.75,0,57,49.5,none,
r,372.75,135,0,55.5,36,none,
r,582.75,188.25,0,64.5,70.5,none,
r,245.25,324.75,0,49.5,76.5,none,
r,577.5,364.5,0,69,63,none,
r,438,294.75,0,54,46.5,none,
r,443.25,549,0,58.5,78,none,
r,786,576,0,93,69,none,
r,814.5,333.75,0,75,61.5,none,
r,222,717.75,0,108,70.5,none,
r,642.75,744.75,0,64.5,73.5,none,
r,909.75,741,0,100.5,78,none,
r,498,852.75,0,99,82.5,none,
r,828.75,967.5,0,85.5,87,none,
r,1095,411,0,111,93,none,
r,990.75,147,0,148.5,78,none,
r,282,978,0,132,99,none,
r,211.5,476.25,0,108,88.5,none,
r,1102.5,901.5,0,123,87,none,
r,1097.25,594,0,136.5,96,none,
r,576.75,1044.75,0,91.5,85.5,none,
r,617.25,514.5,0,64.5,51,none,
r,777,155.25,0,84,67.5,none,
r,1270.5,272.25,0,69,73.5,none,
r,1321.5,750.75,0,45,64.5,none,
r,1347,1060.5,0,87,45,none,
r,876,1233.75,0,114,94.5,none,
r,429.75,1213.5,0,64.5,54,none,
